service_id,date,exception_type
7,20220319,1
2,20220321,1
3,20220322,1
4,20220323,1
5,20220324,1
6,20220325,1
7,20220326,1
2,20220328,1
3,20220329,1
4,20220330,1
5,20220331,1
6,20220401,1
7,20220402,1
2,20220404,1
3,20220405,1
4,20220406,1
5,20220407,1
6,20220408,1
7,20220409,1
2,20220411,1
3,20220412,1
4,20220413,1
5,20220414,1
6,20220415,1
7,20220416,1
2,20220418,1
3,20220419,1
4,20220420,1
5,20220421,1
6,20220422,1
7,20220423,1
2,20220425,1
3,20220426,1
4,20220427,1
5,20220428,1
6,20220429,1
7,20220430,1
2,20220502,1
3,20220503,1
4,20220504,1
5,20220505,1
6,20220506,1
7,20220507,1
2,20220509,1
3,20220510,1
4,20220511,1
5,20220512,1
6,20220513,1
7,20220514,1
2,20220516,1
3,20220517,1
4,20220518,1
5,20220519,1
6,20220520,1
7,20220521,1
2,20220523,1
3,20220524,1
4,20220525,1
5,20220526,1
6,20220527,1
7,20220528,1
2,20220530,1
3,20220531,1
4,20220601,1
5,20220602,1
6,20220603,1
7,20220604,1
2,20220606,1
3,20220607,1
4,20220608,1
5,20220609,1
6,20220610,1
7,20220611,1
2,20220613,1
3,20220614,1
4,20220615,1
5,20220616,1
6,20220617,1
7,20220618,1
2,20220620,1
3,20220621,1
4,20220622,1
5,20220623,1
6,20220624,1
7,20220625,1
2,20220627,1
3,20220628,1
4,20220629,1
5,20220630,1
6,20220701,1
7,20220702,1
2,20220704,1
3,20220705,1
4,20220706,1
5,20220707,1
6,20220708,1
7,20220709,1
2,20220711,1
3,20220712,1
4,20220713,1
5,20220714,1
6,20220715,1
7,20220716,1
2,20220718,1
3,20220719,1
4,20220720,1
5,20220721,1
6,20220722,1
7,20220723,1
2,20220725,1
3,20220726,1
4,20220727,1
5,20220728,1
6,20220729,1
7,20220730,1
2,20220801,1
3,20220802,1
4,20220803,1
5,20220804,1
6,20220805,1
7,20220806,1
2,20220808,1
3,20220809,1
4,20220810,1
5,20220811,1
6,20220812,1
7,20220813,1
2,20220815,1
3,20220816,1
4,20220817,1
5,20220818,1
6,20220819,1
7,20220820,1
2,20220822,1
3,20220823,1
4,20220824,1
5,20220825,1
6,20220826,1
7,20220827,1
2,20220829,1
3,20220830,1
4,20220831,1
5,20220901,1
6,20220902,1
7,20220903,1
2,20220905,1
3,20220906,1
4,20220907,1
5,20220908,1
6,20220909,1
7,20220910,1
2,20220912,1
3,20220913,1
4,20220914,1
5,20220915,1
6,20220916,1
7,20220917,1
2,20220919,1
3,20220920,1
4,20220921,1
5,20220922,1
6,20220923,1
7,20220924,1
2,20220926,1
3,20220927,1
4,20220928,1
5,20220929,1
6,20220930,1
7,20221001,1
2,20221003,1
3,20221004,1
4,20221005,1
5,20221006,1
6,20221007,1
7,20221008,1
2,20221010,1
3,20221011,1
4,20221012,1
5,20221013,1
6,20221014,1
7,20221015,1
2,20221017,1
3,20221018,1
4,20221019,1
5,20221020,1
6,20221021,1
7,20221022,1
2,20221024,1
3,20221025,1
4,20221026,1
5,20221027,1
6,20221028,1
7,20221029,1
2,20221031,1
3,20221101,1
4,20221102,1
5,20221103,1
6,20221104,1
7,20221105,1
2,20221107,1
3,20221108,1
4,20221109,1
5,20221110,1
6,20221111,1
7,20221112,1
2,20221114,1
3,20221115,1
4,20221116,1
5,20221117,1
6,20221118,1
7,20221119,1
2,20221121,1
3,20221122,1
4,20221123,1
5,20221124,1
6,20221125,1
7,20221126,1
2,20221128,1
3,20221129,1
4,20221130,1
5,20221201,1
6,20221202,1
7,20221203,1
2,20221205,1
3,20221206,1
4,20221207,1
5,20221208,1
6,20221209,1
7,20221210,1
2,20221212,1
3,20221213,1
4,20221214,1
5,20221215,1
6,20221216,1
7,20221217,1
2,20221219,1
3,20221220,1
4,20221221,1
5,20221222,1
6,20221223,1
7,20221224,1
2,20221226,1
3,20221227,1
4,20221228,1
5,20221229,1
6,20221230,1
7,20221231,1
